,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
3303,Marilandia do Sul,Parana,city,0,0,0,2,4,4,5800,5800,27000,8,5,5,22000,77000,22000,0,0,0
3304,Maringa,Parana,microregion,0,0,0,71,211,211,61190,61120,223597,0,0,0,75576,96711,75376,3453,3453,256532
3305,Maringa,Parana,city,0,0,0,18,37,37,23700,23700,87690,0,0,0,24626,24626,24626,695,695,37614
3306,Marinopolis,Sao Paulo,city,0,0,0,0,0,0,50,50,150,0,0,0,150,540,150,350,350,28000
3307,Maripa,Parana,city,0,0,0,0,0,0,20550,17550,75400,0,0,0,22150,14150,21750,10,10,350
3308,Maripa de Minas,Minas Gerais,city,0,0,0,0,0,0,15,15,65,0,0,0,0,0,0,10,10,450
3309,Marituba,Para,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3310,Marizopolis,Paraiba,city,0,0,0,0,0,0,120,120,72,344,86,86,0,0,0,0,0,0
3311,Mariapolis,Sao Paulo,city,0,0,0,161,110,110,100,100,420,0,0,0,50,95,50,810,810,56700
3312,Mariopolis,Parana,city,0,0,0,0,0,0,5000,5000,35500,0,0,0,15300,36455,15300,20,20,800
3313,Marlieria,Minas Gerais,city,0,0,0,4,3,3,35,35,142,0,0,0,0,0,0,10,10,400
3314,Marmeleiro,Parana,city,0,0,0,0,0,0,5600,5150,24930,1,1,1,17250,24010,17150,10,10,500
3315,Marmelopolis,Minas Gerais,city,0,0,0,0,0,0,25,25,75,0,0,0,0,0,0,0,0,0
3316,Marques de Souza,Rio Grande do Sul,city,0,0,0,0,0,0,400,400,1280,0,0,0,360,828,360,55,55,1925
3317,Marquinho,Parana,city,0,0,0,0,0,0,800,800,3354,5,4,4,6500,18460,6500,100,100,4060
3318,Martinho Campos,Minas Gerais,city,0,0,0,0,0,0,580,580,4002,0,0,0,2500,9000,2500,0,0,0
3319,Martins,Rio Grande do Norte,city,0,0,0,0,0,0,230,230,72,3,1,1,0,0,0,2,2,60
3320,Martins Soares,Minas Gerais,city,0,0,0,4140,3000,3000,65,65,234,0,0,0,0,0,0,0,0,0
3321,Martinopole,Ceara,city,0,0,0,0,0,0,1277,1277,715,56,80,80,0,0,0,0,0,0
3322,Martinopolis,Sao Paulo,city,0,0,0,279,204,204,3700,3700,15700,0,0,0,2190,6661,2190,36000,36000,3065832
3323,Maruim,Sergipe,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,4104,235242
3324,Marumbi,Parana,city,0,0,0,18,30,30,2020,2020,6924,4,3,3,4200,10500,4200,1756,1756,173844
3325,Marzagao,Goias,city,0,0,0,0,0,0,380,325,1367,30,13,13,800,2880,800,20,20,1720
3326,Marilia,Sao Paulo,macroregion,0,0,0,27714,19517,19517,14016,14016,63140,0,0,0,14550,44408,14550,67583,67583,4910006
3327,Marilia,Sao Paulo,microregion,0,0,0,26778,18726,18726,10116,10116,50090,0,0,0,9950,30358,9950,25083,25083,1913756
3328,Marilia,Sao Paulo,city,0,0,0,1081,800,800,2500,2500,12000,0,0,0,1000,2700,1000,4500,4500,332501
3329,Mascote,Bahia,city,907,5600,5600,416,260,260,0,0,0,0,0,0,0,0,0,0,0,0
3330,Massape,Ceara,city,0,0,0,2,5,5,1354,1354,284,25,31,31,0,0,0,9,9,459
3331,Massape do Piaui,Piaui,city,0,0,0,0,0,0,745,745,148,0,0,0,0,0,0,0,0,0
3332,Massaranduba,Paraiba,city,0,0,0,0,0,0,950,850,850,0,0,0,0,0,0,0,0,0
3333,Massaranduba,Santa Catarina,city,0,0,0,0,0,0,0,0,0,51388,5224,5224,0,0,0,0,0,0
3334,Mata,Rio Grande do Sul,city,0,0,0,0,0,0,1540,1540,924,14404,1805,1805,3300,1980,3300,30,30,240
3335,Mata Alagoana,Alagoas,microregion,0,0,0,0,0,0,1520,1500,2302,0,0,0,1150,2735,930,61410,61410,3586151
3336,Mata Grande,Alagoas,city,0,0,0,0,0,0,1500,600,540,0,0,0,0,0,0,25,25,1300
3337,Mata Meridional Pernambucana,Pernambuco,microregion,0,0,0,0,0,0,60,60,108,0,0,0,0,0,0,99051,100551,5550490
3338,Mata Paraibana,Paraiba,macroregion,0,0,0,0,0,0,1090,1090,1095,0,0,0,0,0,0,97025,97025,5477000
3339,Mata Pernambucana,Pernambuco,macroregion,0,0,0,0,0,0,250,250,211,0,0,0,0,0,0,192567,194067,11731095
